,accuracy,precision,recall,f1_score,false_positive_rate,true_positives,false_positives,true_negatives,false_negatives
IsolationForest,0.9,0.02197802197802198,0.02127659574468085,0.021621621621621623,0.051864801864801864,2.0,89.0,1627.0,92.0
LOF,0.9044198895027624,0.06593406593406594,0.06382978723404255,0.06486486486486485,0.049533799533799536,6.0,85.0,1631.0,88.0
OneClassSVM,0.9033149171270718,0.054945054945054944,0.05319148936170213,0.05405405405405406,0.05011655011655012,5.0,86.0,1630.0,89.0
EllipticEnvelope,0.9011049723756906,0.03296703296703297,0.031914893617021274,0.03243243243243243,0.05128205128205128,3.0,88.0,1628.0,91.0
Autoencoder,0.9060773480662984,0.047619047619047616,0.0425531914893617,0.04494382022471909,0.046620046620046623,4.0,80.0,1636.0,90.0
