Date,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,return_on_investment,tangible_equity,return_on_tangible_equity,price,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,shares_outstanding,ps_ratio,pb_ratio,pfcf_ratio,total_assets,ticker
6/30/2011,0.11,92.72727272727272,4.4,0.86,0.2,11.28,1.4,8.05,1,10.18,1.31,14.63,6.13,14.87,5.86,18.6,10.2,8.05,7.77,1.04,6355,7765,9913,2388,201,445,191,0.02,9200,2.318181818181818,11.86046511627907,50.99999999999999,17.94,AMZN
9/30/2011,0.1,107.89999999999999,4.75,0.85,0.17,11.9,1.33,8.13,0.91,11.29,1.45,11.7,4.79,11.46,5.83,15.11,10.79,8.98,7.77,0.87,6326,7766,10876,2551,79,357,63,0.01,9220,2.271578947368421,12.694117647058823,63.47058823529411,19.05,AMZN
12/31/2011,0.07,123.28571428571429,5.22,0.85,0.23,17.49,1.17,12.5,0.84,17.52,2.26,8.24,3.19,9.28,5.8,10.82,8.63,14.9,7.76,0.63,9576,7757,17431,3601,260,619,176,0.02,9220,1.653256704980843,10.15294117647059,37.52173913043478,25.28,AMZN
3/31/2012,0.06,168.33333333333334,5.58,0.81,0.13,12.15,1.16,7.9,0.75,13.07,1.8,7.33,2.71,7.74,5.3,9.83,10.1,10.49,7.27,0.56,5715,7271,13185,3158,192,649,130,0.01,9200,1.8100358422939067,12.469135802469134,77.69230769,20.34,AMZN
6/30/2012,0.04,284.75,5.9,0.83,0.12,11.79,1.08,7.41,0.68,13.52,1.8,4.96,1.76,6.72,4.98,6.86,11.39,10.96,7.51,0.38,4970,7505,12834,3346,107,592,7,0,9160,1.930508474576271,13.722891566265062,94.91666666666667,21.02,AMZN
9/30/2012,0,1620,6.25,0.83,0.11,13.12,1.04,8.05,0.64,15.28,2.02,0.52,0.17,5.57,5.01,0.74,12.69,12.61,7.55,0.04,5248,7553,13806,3487,-28,527,-274,-0.03,9040,2.0303999999999998,15.289156626506024,115.36363636363636,22.83,AMZN
12/31/2012,-0.01,-1251,7.38,0.9,0.06,21.3,1.12,15.27,0.8,24.36,2.97,-0.51,-0.16,6.53,5.64,-0.75,12.51,19,8.19,-0.04,11448,8192,21268,5131,405,1067,98,0.01,9060,1.6951219512195121,13.899999999999999,208.5,32.56,AMZN
3/31/2013,0,1620,7.72,0.93,-0.26,16.31,1.14,10.92,0.76,19.95,2.37,-1.1,-0.33,6.18,5.9,-1.62,13.29,14.33,8.43,-0.09,7895,8432,16070,4269,181,881,82,0.01,9260,1.721502590673575,14.29032258064516,-51.11538462,28.38,AMZN
6/30/2013,0.03,461.6666666666667,7.91,0.96,-0.29,16.29,1.11,10.87,0.74,20.89,2.39,-1.23,-0.36,5.69,6.12,-1.78,13.85,14.74,8.73,-0.1,7463,8733,15704,4495,79,836,-7,0,9120,1.7509481668773703,14.427083333333334,-47.75862069,29.62,AMZN
9/30/2013,0.01,1559,7.67,0.99,0.13,17.33,1.07,11.27,0.7,22.77,2.51,1.53,0.43,5.49,6.45,2.19,15.59,16.14,9.09,0.13,7689,9087,17092,4726,-25,809,-41,-0.01,9140,2.032594524119948,15.747474747474747,119.92307692307692,31.86,AMZN
