,IsolationForest_score,IsolationForest_flag,LOF_score,LOF_flag,OneClassSVM_score,OneClassSVM_flag,EllipticEnvelope_score,EllipticEnvelope_flag,Autoencoder_score,Autoencoder_flag
0,0.26875958837832564,0,0.030394462835687988,0,0.6206868271861203,0,0.0005364856858534728,0,6.154469248562987,0
1,0.039546472146980205,0,0.010042901789850017,0,0.42225905838035377,0,9.23530312380495e-05,0,1.8550452727855926,0
2,0.10628809712055629,0,0.03979862026819113,0,0.599022581926647,0,0.00016757509625496878,0,3.3676568110571212,0
3,0.03275808717287278,0,0.0019979829586634136,0,0.2207378808228662,0,9.379093851536763e-05,0,1.5473402901173237,0
4,0.1134476395416826,0,0.009354360741170608,0,0.6063908539454573,0,0.00014342905077231573,0,2.7125225334884844,0
5,0.026192660891136588,0,0.00273318947827783,0,0.2237650074045376,0,7.084739464981978e-05,0,1.2863651935327562,0
6,0.1113787305985022,0,0.021263873731894416,0,0.5684883172658679,0,0.00015377977669277175,0,3.4423238079021514,0
7,0.32173839923730724,0,0.02924597037075796,0,0.8011697354407383,0,0.00070678189737619,0,7.541939145547405,0
8,0.07223516329646806,0,0.013699045051699608,0,0.29760958358543377,0,0.00013808929670189663,0,2.8645810824117457,0
9,0.1295331312901627,0,0.018160519554531542,0,0.3465843608363125,0,0.00031973729032725736,0,2.067063595325863,0
10,0.08026144444050907,0,0.010998862771007426,0,0.5796889004512296,0,0.00012594890087475077,0,2.8119070405352926,0
11,0.16735432615817505,0,0.044980115229103196,0,0.6681780359802512,0,0.00030455386193836096,0,5.630578125029892,0
12,0.20698597884408598,0,0.06324390525133528,0,0.7291070175534395,0,0.00023604705630305504,0,5.019524161042327,0
13,0.23083693048058132,0,0.042839219590212634,0,0.5408873144002476,0,0.0005290780906865034,0,3.939306976991385,0
14,0.0339994653715152,0,0.00822082245620771,0,0.2741997429467779,0,5.02746160321833e-05,0,1.1609756238410627,0
15,0.282333694257391,0,0.0038216254234883806,0,0.6981969225958518,0,0.000507096022454384,0,7.738386807804647,0
16,0.13937725987010371,0,0.04530298557560459,0,0.6493590698461079,0,0.000180208401161015,0,4.221222852249608,0
17,0.05344970842952446,0,0.01151183619266722,0,0.47832472683960275,0,0.00013589289076501956,0,2.15686708700558,0
18,0.02944289305924261,0,0.0020073290483268694,0,0.30433156062101263,0,5.611398884646428e-05,0,2.0899918152558365,0
19,0.17201960654312534,0,0.06328093783183267,0,0.5259331128509807,0,0.0003813643730940054,0,5.128488693967694,0
20,0.0715758205259356,0,0.05641538049658655,0,0.3817365327295007,0,9.030046508882136e-05,0,1.8175623749850245,0
21,0.1410410534860916,0,0.014014366351167602,0,0.4750414139843047,0,0.0001697730613541367,0,2.8444310809193873,0
22,0.03019383858367407,0,0.007552965782985858,0,0.2715965589461679,0,5.613932876475672e-05,0,1.9693572219372473,0
23,0.02341442694627018,0,0.0013972654912229427,0,0.08492386275179031,0,1.7862154929536562e-05,0,0.4504003154920152,0
24,0.01936537752325984,0,0.0020708934597449035,0,0.27931901189933306,0,3.614098631750958e-05,0,1.3918683527104878,0
25,0.05305690268939462,0,0.005118422620525761,0,0.5185251509985708,0,0.00010106753560877395,0,2.382157725897862,0
26,0.0761317581591911,0,0.00727088942832044,0,0.4100758454609947,0,0.00012771036315171926,0,2.1099576120749055,0
27,0.07481098508973108,0,0.001694430978518797,0,0.24675657696305875,0,6.893617369619345e-05,0,1.9293061374217602,0
28,0.31998416177416195,0,0.025444821262400396,0,0.5439386243201783,0,0.0007735750493590254,0,9.647275359599721,0
29,0.060954152015708384,0,0.008162933983628254,0,0.14730191141042323,0,5.1559860576062586e-05,0,0.7905476836398506,0
30,0.11289953891467897,0,0.029871903201929808,0,0.652252003120255,0,0.00018569278677197556,0,4.143717937110845,0
31,0.15136936496081482,0,0.01778845597763135,0,0.4192398524420742,0,0.0003819486465243775,0,3.520661958416183,0
32,0.03257736407645394,0,0.00336202478034154,0,0.3258427154551335,0,0.00010287423703188959,0,1.9772908070213375,0
33,0.2011042087518193,0,0.004389622502040457,0,0.4713842686588989,0,0.0002800801856911556,0,3.6777082804747527,0
