,accuracy,precision,recall,f1_score,false_positive_rate,true_positives,false_positives,true_negatives,false_negatives
IsolationForest,0.9779005524861878,0.0,0.0,0.0,0.010620458356623811,0.0,19.0,1770.0,21.0
LOF,0.9779005524861878,0.0,0.0,0.0,0.010620458356623811,0.0,19.0,1770.0,21.0
OneClassSVM,0.9779005524861878,0.0,0.0,0.0,0.010620458356623811,0.0,19.0,1770.0,21.0
EllipticEnvelope,0.9779005524861878,0.0,0.0,0.0,0.010620458356623811,0.0,19.0,1770.0,21.0
Autoencoder,0.976243093922652,0.0,0.0,0.0,0.012297372833985467,0.0,22.0,1767.0,21.0
